cites_count.currentYear,cites_count.L5Y.mean,cites_count.L5Y.median,cites_count.L5Y.std,cites_count.speed.mean,cites_count.speed.median,cites_count.speed.std,cites_count.acc.mean,cites_count.acc.median,cites_count.acc.std,cites_publication.currentYear,publications.currentYear,publications.L5Y.mean,publications.L5Y.median,publications.L5Y.std,publications.speed.mean,publications.speed.median,publications.speed.std,publications.acc.mean,publications.acc.median,publications.acc.std,authors_total.currentYear,authors_total.L5Y.mean,authors_total.L5Y.median,authors_total.L5Y.std,authors_total.speed.mean,authors_total.speed.median,authors_total.speed.std,authors_total.acc.mean,authors_total.acc.median,authors_total.acc.std,countries_count.currentYear,countries_count.L5Y.mean,countries_count.L5Y.median,countries_count.L5Y.std,countries_count.speed.mean,countries_count.speed.median,countries_count.speed.std,countries_count.acc.mean,countries_count.acc.median,countries_count.acc.std,countries_total.currentYear,countries_total.L5Y.mean,countries_total.L5Y.median,countries_total.L5Y.std,countries_total.speed.mean,countries_total.speed.median,countries_total.speed.std,countries_total.acc.mean,countries_total.acc.median,countries_total.acc.std,articles_count.currentYear,articles_count.L5Y.mean,articles_count.L5Y.median,articles_count.L5Y.std,articles_count.speed.mean,articles_count.speed.median,articles_count.speed.std,articles_count.acc.mean,articles_count.acc.median,articles_count.acc.std,conf_count.currentYear,conf_count.L5Y.mean,conf_count.L5Y.median,conf_count.L5Y.std,conf_count.speed.mean,conf_count.speed.median,conf_count.speed.std,conf_count.acc.mean,conf_count.acc.median,conf_count.acc.std,field_count.currentYear,field_count.L5Y.mean,field_count.L5Y.median,field_count.L5Y.std,field_count.speed.mean,field_count.speed.median,field_count.speed.std,field_count.acc.mean,field_count.acc.median,field_count.acc.std,field_total.currentYear,field_total.L5Y.mean,field_total.L5Y.median,field_total.L5Y.std,field_total.speed.mean,field_total.speed.median,field_total.speed.std,field_total.acc.mean,field_total.acc.median,field_total.acc.std,access_open_count.currentYear,access_open_count.L5Y.mean,access_open_count.L5Y.median,access_open_count.L5Y.std,access_open_count.speed.mean,access_open_count.speed.median,access_open_count.speed.std,access_open_count.acc.mean,access_open_count.acc.median,access_open_count.acc.std,access_closed_count.currentYear,access_closed_count.L5Y.mean,access_closed_count.L5Y.median,access_closed_count.L5Y.std,access_closed_count.speed.mean,access_closed_count.speed.median,access_closed_count.speed.std,access_closed_count.acc.mean,access_closed_count.acc.median,access_closed_count.acc.std,sponsor_total.currentYear,sponsor_total.L5Y.mean,sponsor_total.L5Y.median,sponsor_total.L5Y.std,sponsor_total.speed.mean,sponsor_total.speed.median,sponsor_total.speed.std,sponsor_total.acc.mean,sponsor_total.acc.median,sponsor_total.acc.std,class
1248,23981,23960.5,17260.44451,9140,8723,1000.900844,1836.75,1943.5,286.956878,0.718067,1738,2468.333333,2571,369.091678,267,62,438.788104,268,80.5,412.65078,3961,5149.833333,4756,1351.599854,1297.2,1039,1170.833549,956.5,698,922.844335,119,116.666667,115.5,7.420692,6.2,5,6.140033,6.25,4.5,4.573474,8095,10173.83333,9776,2048.119568,2037.2,1510,1858.546125,1390.5,808,1423.507523,1361,1724.666667,1758.5,202.301425,170.4,119,242.98004,203,118,173.397424,133,326.166667,363,107.23137,64.4,48,49.155875,41.25,33,23.655514,28,28,28,0,0,0,0,0,0,0,2961,4191,4390.5,620.679305,500,226,695.613039,469.25,188,641.631449,573,650.333333,616,82.701068,133.2,160,52.35647,34,34,27.760884,1162,1637.5,1716.5,236.387605,164.8,62,218.718312,153.25,51.5,226.517659,764,570.833333,523.5,214.628439,212.6,120,176.907603,203.25,206,181.876103,1
812,11181.5,12250,6730.778967,5310.2,5952,1485.790766,1570.75,1492.5,845.879178,0.697595,1164,1416.666667,1410.5,232.707255,241.4,210,224.174709,207.75,186,145.181209,718,860.333333,845.5,130.380469,154.6,141,105.594981,121.5,82.5,85.309241,80,82.666667,77,18.5652,25.2,19,16.679329,14.25,10.5,12.284814,2271,2699.166667,2564.5,734.123536,787.8,617,752.652111,600,556,371.551701,923,999.666667,1005,149.087446,142.4,104,99.766227,100.25,102,82.443415,138,300.5,333,88.083483,92,73,89.560036,73,42.5,89.877695,24,25,25,1.414214,2.2,2,0.83666,1.25,1,0.5,2319,2700.666667,2653,477.835397,502.2,477,416.687773,379.25,344.5,188.560114,198,191,184,50.856661,52.8,63,25.81085,15.75,9,16.459546,1046,1239.5,1253.5,178.384697,182,140,162.800491,149,117,120.866317,362,351.666667,344,115.648894,94.4,87,45.219465,42,35.5,22.135944,1
2224,60513,62100.5,44174.99825,23002.2,21564,6014.037554,8083.75,7965,7056.745443,0.687693,3234,4744.5,4976,773.930165,573,178,913.52723,591.75,229,851.483558,3989,5350.166667,5014,1325.314214,1295.2,1042,1249.601817,954.25,614.5,958.437052,124,131,133,11.349009,13,12,9.848858,10.5,10,6.557439,10209,13363.5,13153.5,2536.304615,2512.2,1963,2580.327053,2162.75,1381,1717.672917,2506,3447.833333,3621.5,511.419756,445,277,565.319821,409.25,189.5,505.211754,379,661.5,700,150.392486,143.2,74,154.427005,127.25,69.5,138.934937,28,27.833333,28,0.408248,0.4,0,0.547723,0.25,0,0.5,5899,8363.666667,8720.5,1277.983672,962.8,401,1487.196759,995.75,334,1424.25147,890,1447.333333,1552.5,325.081938,299.2,267,226.923335,241.25,156,277.314953,2636,3349.5,3394,419.840327,435.8,301,477.798284,324,165.5,390.36991,1424,1498.833333,1391.5,461.175635,433.4,307,354.263744,223.5,244,131.973482,1
2139,47272.83333,47804,34205.17752,16838,18951,7360.075373,6349.75,3087.5,7993.462428,0.652731,3277,4574.333333,4816.5,640.87305,362,7,708.740785,490.75,168.5,757.43267,2850,4938.5,5143,1212.853124,1406.6,1221,894.36894,1062.75,991.5,541.091105,118,110.333333,109.5,5.354126,2.6,3,1.516575,1.25,1,1.258306,9788,13369.16667,14068.5,2005.103031,1915.8,969,1923.847369,1364.25,521.5,2001.303138,2501,3164.333333,3261.5,336.902162,242,71,371.012803,286,150,365.00411,320,839,944,264.106039,160.4,61,193.795769,118,56.5,162.240562,28,28,28,0,0,0,0,0,0,0,6054,8151.333333,8487.5,1060.050879,705.2,183,1190.939209,749.75,91.5,1329.533345,927,1180.666667,1200,227.537836,281.2,314,230.529174,244,273,87.494762,3449,3351.666667,3357,89.540307,123.2,109,82.826324,100,99.5,9.273618,539,906.166667,907,377.222702,439.6,439,425.413093,366.75,368,240.462575,1
2037,51206,52716,37119.24362,18977.6,18010,5632.303374,6249,5924,6152.394222,0.609151,3344,4564,4624,661.256985,534.4,272,787.420345,499,170,778.529383,3813,5438.166667,5272.5,1271.025321,1328.4,972,1333.125951,1048,701.5,892.865425,111,132.5,133.5,16.392071,13.2,4,15.610894,19.25,20.5,13.200379,9364,12783.5,12304.5,2751.969386,2643.6,1838,2744.68756,1860,858,2564.669309,2541,3123.333333,3117,348.789144,328,207,403.779024,245.75,75.5,376.803552,263,447.5,479.5,92.942455,63.2,22,95.659291,63,13.5,102.042475,27,27.833333,28,0.408248,0.2,0,0.447214,0.25,0,0.5,5488,7282.833333,7389.5,1011.291732,875.2,418,1177.763007,686.25,151.5,1168.181314,1288,1191.833333,1242,123.201326,58.8,92,53.821,25.75,5.5,44.259651,2885,2819.5,2826,72.948612,38.4,35,49.043858,51.75,43.5,60.323434,1256,1020.333333,1052.5,262.427641,130.4,99,167.141557,178.75,154,189.888344,1
3360,74453.16667,76784.5,52926.05849,27484.4,26479,4451.943149,4579.5,4016.5,1976.170455,0.676465,4967,6373.333333,6452.5,806.533488,695.4,337,913.396026,539.75,86,956.223257,1822,4717,4817,1625.05803,1232.6,1247,1132.222284,1769,1670.5,577.586357,154,143.5,143.5,18.960485,17.8,24,11.054411,16.5,18,8.504901,15929,20035.5,20757,2957.744664,2789.6,2231,2872.054369,2489.5,1957.5,2466.736103,4143,4974,5020,510.001176,469,240,562.505111,362,105.5,537.396812,340,455.833333,439,90.60997,80.8,40,88.420586,91,67.5,86.259299,28,28,28,0,0,0,0,0,0,0,7903,10176.5,10283,1347.177011,1202,568,1509.952814,888.25,149,1548.148868,1153,1483,1455.5,266.266032,242.8,148,252.732467,268.5,208.5,223.848907,2635,3201.166667,3304,372.164704,425.2,376,352.397077,338.5,229.5,339.415674,1986,1742,1710,686.098827,558.6,562,308.924424,210,223,164.298509,1
1477,32991.66667,35542.5,22678.77818,11761,12118,2878.053596,2189.75,1641.5,2426.411943,0.603103,2449,3198.5,3261,434.407528,379,216,488.229454,346.5,122.5,455.70056,4024,5718.833333,5548,1292.296934,1326.8,944,1368.429282,1039.5,662,980.948011,129,126.333333,129.5,9.136009,5.8,3,6.534524,9.25,9.5,6.130525,9996,13027.5,12664,2651.940931,2556.4,1697,2442.62232,1871,1033,2222.878164,1890,2239.666667,2247,217.477049,194.6,99,236.576203,159.25,59,239.67252,236,320.666667,337.5,43.019375,35,18,47.565744,34.25,16.5,45.682783,28,28,28,0,0,0,0,0,0,0,4087,5300.333333,5404,708.888049,646.6,282,826.992322,555.5,285.5,694.652191,710,829.333333,828.5,127.416901,129.8,99,110.639957,96.5,95.5,73.232506,1712,2096.666667,2125,224.33784,201.2,110,260.735882,189,91,213.682007,968,915.666667,874,399.995333,345.8,276,244.134594,147.5,126.5,95.591143,1
827,17018.66667,17291.5,12404.28859,6351.2,6569,1286.352285,1447.25,1502,375.655316,0.628897,1315,1756.333333,1817.5,220.319465,144.4,35,261.212174,153.25,35,256.890865,406,571.833333,579,97.37231,89.8,128,79.42103,109.5,130,66.540714,102,112.666667,115.5,12.832251,12.4,17,7.334848,8.25,8,6.130525,3011,3809.166667,3862,512.191143,528.2,271,463.48808,470.5,416,423.617359,1079,1268.666667,1287,111.863607,112.2,54,140.89961,97.25,88,85.651912,89,152.166667,157.5,42.911149,33.8,32,19.018412,27.5,27.5,11.61895,27,27.5,27.5,0.547723,0.6,1,0.547723,1,1,0,2290,3067.333333,3184.5,389.677645,300,116,434.288499,265.25,57,442.021398,517,591.833333,574.5,94.04343,78.6,72,67.799705,91.25,81,49.647927,864,1150.166667,1168.5,156.28361,110,62,127.92576,132.5,119,94.171829,377,365.333333,362,80.750645,74,66,48.414874,37,28,38.140093,1
3016,75485.16667,73925,57041.91801,29136.2,30748,7123.234778,9145.75,8737,6263.750707,0.667257,4520,5900,6030,729.82491,564,219,851.151279,505.25,90.5,890.398553,4354,5297.166667,4865,1375.790015,1344.6,1115,1124.549821,895.75,723,673.992767,148,141.666667,140.5,8.75595,12,9,8.031189,9.5,7.5,7.325754,12257,14827.33333,14250,2459.337282,2350.2,1496,2165.574104,1704.5,736.5,2059.586771,3387,4199.5,4305.5,413.064523,315.6,172,470.501116,336,134,424.007075,434,567.333333,583,87.903735,75.2,49,78.97278,67.75,27,89.738045,28,28,28,0,0,0,0,0,0,0,7152,9272.5,9438.5,1122.863972,877,429,1329.726852,787.25,168,1353.369222,671,1111.333333,1144,241.438743,214.2,139,171.658673,210.25,221.5,112.618456,2040,2424.833333,2575,296.737201,401,560,262.990494,262.75,272,263.827437,1149,1146.333333,1059.5,365.304074,315.2,360,218.494165,168.25,187.5,89.179127,1
1975,45858,42696.5,34831.0278,16946,15547,9909.398897,10939.75,7841,11222.11535,0.730129,2705,3732.833333,3861.5,520.974248,382.2,118,620.178765,374.25,102,588.65914,2820,5289.666667,5598,1391.810571,1504.8,1172,1056.091473,1245,1169,608.509655,138,131.166667,126,13.746515,10.8,5,12.911235,12.75,8.5,12.038134,9276,12672.83333,12835,2169.694395,2477.6,1204,2400.904684,1504.5,1162,1657.128138,2241,2973.833333,3082,367.477029,255.2,26,439.110123,252.75,71.5,414.051023,227,246.166667,228.5,41.672133,46.6,41,29.795973,19.5,17,15.32971,28,28,28,0,0,0,0,0,0,0,4530,6256.166667,6466.5,883.772237,674.6,147,1078.543601,662.5,260,925.536061,791,1051.333333,1088.5,134.893538,123.6,71,148.131023,110.25,61,107.41935,1480,1976,2038.5,254.612647,191.8,65,248.521025,190.75,88,261.682218,720,758.166667,715,281.351322,268.8,174,239.845158,175.25,113,150.375918,1
779,20031.16667,23176,13890.38924,7200.2,7613,3791.281802,5358.75,5679.5,2471.714975,0.356685,2184,3028.5,3125.5,450.205175,332,154,499.416159,367.25,122,550.040832,1128,1329.666667,1339.5,116.142441,93.2,45,123.179544,107.75,55,130.808703,80,70.666667,71,7.31209,7.2,7,5.540758,8.25,7.5,3.593976,3248,4249.666667,4329.5,615.30957,497.4,165,649.216682,624.25,439,625.331046,1629,2039.833333,2086.5,237.8894,194.4,67,253.998622,199.25,93.5,267.157101,274,591.166667,646,157.183226,113,60,144.865455,98.75,27,159.205057,28,28,28,0,0,0,0,0,0,0,3617,4977,5053,756.024603,604.4,327,855.423462,635.25,264.5,883.592808,421,607.5,639,100.599702,87,33,103.5833,102.75,80.5,101.431011,1063,1595.333333,1690.5,261.777514,148.6,53,267.008052,170.25,30,300.1526,398,430.666667,376,145.717077,129.8,133,105.331382,87.75,96.5,72.614852,1
854,18957.16667,21046,12751.57698,6483.8,7241,2591.489379,1992.75,1068.5,2498.935957,0.51353,1663,2709,2909,513.085958,280.6,45,543.64722,326.25,30,609.282844,2200,3571.833333,3457,1591.233285,1601.8,1544,1375.09207,1667.25,1601,395.29177,90,105.833333,109,8.109665,6.6,4,8.820431,6.75,3.5,7.632169,5733,8847.5,9057,2071.359143,1945,1476,2249.370801,2067.25,1416,1520.817625,1158,1544.833333,1583,205.738102,178.2,94,223.358904,186.25,121.5,196.608537,362,939.5,1008.5,300.500083,169.4,95,224.959552,219,163,162.976481,27,26.5,26.5,1.048809,1.2,1,0.83666,1.25,1,0.5,3166,4871.5,5207.5,847.688327,579.8,156,907.783399,614.5,162,972.02109,609,687.5,683,120.869765,113.4,100,75.231642,64.75,39,72.440205,1201,2043.166667,2157,426.984504,231.8,70,357.978631,240.75,62.5,386.159186,564,633.833333,562,274.002494,263.4,154,232.751584,141.75,140.5,108.065952,1
1882,41893.5,43337,30134.80266,15081,14444,5634.327821,6278.25,7287.5,4115.858467,0.782536,2405,3243,3357.5,448.309268,429.6,227,483.638088,307.75,68,506.005517,2796,4954.666667,5262.5,1281.763889,1484.2,1488,959.342066,1161.5,1128,613.768958,108,119.166667,119,6.823977,6.2,4,7.823043,4.75,1.5,7.544314,8714,12645.5,13288.5,2336.581927,2393.6,1929,2425.401266,1812.5,1199,1963.175404,2048,2574.166667,2641.5,290.287731,272.8,156,322.096569,227,94,308.984358,139,201,204,40.303846,28,29,15.427249,21.5,22,18.806027,28,28,28,0,0,0,0,0,0,0,4248,5587.333333,5727,736.241718,705,387,824.025182,546,176.5,786.270946,1278,1339.666667,1289.5,169.091297,161,165,108.016203,130,147.5,65.660744,1306,1918.166667,2017,304.90616,232,93,312.345962,223,78,324.644421,934,946.833333,916.5,379.549953,339.8,267,198.400353,141.25,166.5,80.814087,1
1205,26101.83333,26573.5,19405.59412,9743.4,8857,5461.279273,5887,6205,4189.662914,0.583253,2066,2739.5,2847.5,348.397905,258,116,401.267367,284.75,111.5,380.937768,575,869.833333,776,270.083259,269.4,276,171.958716,201.25,162.5,193.338003,108,125.166667,125,10.245324,12.8,11,8.105554,7,5,6.377042,4726,6164.333333,6336.5,822.617449,662.4,215,905.496162,801.5,530,833.814328,1601,1837.5,1857.5,148.567493,145.8,89,173.481123,124.75,87.5,123.548573,180,315,339.5,68.853468,41.2,29,53.373214,39,25,45.460606,28,27.833333,28,0.408248,0.4,0,0.547723,0.25,0,0.5,3502,4486.666667,4610,536.95574,448.4,214,625.595956,437.75,201,555.828136,787,878.5,867,157.092011,136.6,112,92.721626,101.5,74.5,92.226171,1311,1740.833333,1813,215.425548,130.6,57,199.674235,144.75,46.5,206.299742,623,592.333333,575,146.435879,120.6,147,67.648355,39.25,28,45.006481,1
